"stockid","commonname","region","M","n_years","max_FMI","min_B_BMSY","ever_danger","ever_warning","ever_collapsed","ever_severe","life_history"
"ACADREDGOMGB","Acadian redfish","US East Coast",0.05,107,12.72,0.0603093600242625,TRUE,TRUE,TRUE,TRUE,"1_Long-lived (M<0.2)"
"ACMACKSARG","Argentine chub mackerel","South America",0.38,29,0.880263157894737,1.01702597010277,FALSE,FALSE,FALSE,FALSE,"2_Medium (0.2≤M<0.4)"
"ALBANATL","Albacore tuna","Atlantic Ocean",0.3,85,0.476666666666667,0.594991959568114,FALSE,FALSE,FALSE,FALSE,"2_Medium (0.2≤M<0.4)"
"ALBASATL","Albacore tuna","Atlantic Ocean",0.3,59,1.18333333333333,0.713,FALSE,TRUE,FALSE,FALSE,"2_Medium (0.2≤M<0.4)"
"ALBASPAC","Albacore tuna","Pacific Ocean",0.4,60,0.97875,2.39,FALSE,FALSE,FALSE,FALSE,"3_Moderate (0.4≤M<0.8)"
"ALPLAICBSAI","Alaska plaice","US Alaska",0.25,46,0.54296,1.08613483712322,FALSE,FALSE,FALSE,FALSE,"2_Medium (0.2≤M<0.4)"
"AMPL5YZ","American plaice","US East Coast",0.2,39,4.55,0.349320814206781,TRUE,TRUE,TRUE,FALSE,"2_Medium (0.2≤M<0.4)"
"ANCHMEDGSA16","Anchovy","Mediterranean-Black Sea",0.66,14,1.92079545454545,0.627,TRUE,TRUE,FALSE,FALSE,"3_Moderate (0.4≤M<0.8)"
"ANCHOBAYB","Anchovy","European Union",1.2,32,0.565833333333333,0.16049818269663,FALSE,FALSE,TRUE,TRUE,"4_Fast turnover (M≥0.8)"
"ARFLOUNDGA","Arrowtooth flounder","US Alaska",0.2,60,0.178075,0.610141234397271,FALSE,FALSE,FALSE,FALSE,"2_Medium (0.2≤M<0.4)"
"ARFLOUNDPCOAST","Arrowtooth flounder","US West Coast",0.166,104,3.5533734939759,1.80487804878049,TRUE,TRUE,FALSE,FALSE,"1_Long-lived (M<0.2)"
"ARGANCHONARG","Argentine anchoita","South America",1.01,30,0.0733663366336634,0.664593381252348,FALSE,FALSE,FALSE,FALSE,"4_Fast turnover (M≥0.8)"
"ARGANCHOSARG","Argentine anchoita","South America",0.98,30,0.0142857142857143,1.20585010608197,FALSE,FALSE,FALSE,FALSE,"4_Fast turnover (M≥0.8)"
"ARGHAKENARG","Argentine hake","South America",0.3,33,5.46,0.117102797331666,TRUE,TRUE,TRUE,TRUE,"2_Medium (0.2≤M<0.4)"
"ARGHAKESARG","Argentine hake","South America",0.3,29,3.4,0.333089060964121,TRUE,TRUE,TRUE,FALSE,"2_Medium (0.2≤M<0.4)"
"ATHAL5YZ","Atlantic halibut","US East Coast",0.15,204,4.46,0.00871428571428571,TRUE,TRUE,TRUE,TRUE,"1_Long-lived (M<0.2)"
"ATKABSAI","Atka mackerel","US Alaska",0.3,43,1.5,1.17647058823529,TRUE,TRUE,FALSE,FALSE,"2_Medium (0.2≤M<0.4)"
"ATLCROAKMATLC","Atlantic croaker","US East Coast",0.3,36,2.25,0.404396515968478,TRUE,TRUE,TRUE,FALSE,"2_Medium (0.2≤M<0.4)"
"ATOOTHFISHRS","Antarctic toothfish","Other",0.13,10,0.336923076923077,4.03145161978301,FALSE,FALSE,FALSE,FALSE,"1_Long-lived (M<0.2)"
"AUSSALMONNZ","Australian salmon","New Zealand",0.19,72,1.16052631578947,1.23868778280543,FALSE,TRUE,FALSE,FALSE,"1_Long-lived (M<0.2)"
"BGRDRNSWWA","Blue grenadier","Australia",0.162782,43,3.3996326375152,1.41940013768987,TRUE,TRUE,FALSE,FALSE,"1_Long-lived (M<0.2)"
"BGROCKPCOAST","Blackgill rockfish","US West Coast",0.07,69,12.4285714285714,0.483343605546996,TRUE,TRUE,TRUE,FALSE,"1_Long-lived (M<0.2)"
"BIGHTREDSE","Bight redfish","Australia",0.1029985,27,0.811662305761734,1.82264649520008,FALSE,FALSE,FALSE,FALSE,"1_Long-lived (M<0.2)"
"BKCDLFENI","Black cardinalfish","New Zealand",0.04,27,21.075,0.251368562171824,TRUE,TRUE,TRUE,FALSE,"1_Long-lived (M<0.2)"
"BLACKGROUPERGMSATL","Black grouper","US Southeast and Gulf",0.136,23,2.15441176470588,0.577223147020598,TRUE,TRUE,FALSE,FALSE,"1_Long-lived (M<0.2)"
"BLACKOREOPR","Black oreo","New Zealand",0.04,27,7.525,0.814622868403494,TRUE,TRUE,FALSE,FALSE,"1_Long-lived (M<0.2)"
"BLACKOREOWECR","Black oreo","New Zealand",0.044,35,2.93181818181818,1.61535522681051,TRUE,TRUE,FALSE,FALSE,"1_Long-lived (M<0.2)"
"BLACKROCKSPCOAST","Black rockfish","US West Coast",0.16,87,0.5875,1.11449536203793,FALSE,FALSE,FALSE,FALSE,"1_Long-lived (M<0.2)"
"BLSHARNPAC","Blue shark","Pacific Ocean",0.1354,44,6.35155096011817,1.08,TRUE,TRUE,FALSE,FALSE,"1_Long-lived (M<0.2)"
"BLUEFISHATLC","Bluefish","US East Coast",0.2,38,2.64,0.417066769491019,TRUE,TRUE,TRUE,FALSE,"2_Medium (0.2≤M<0.4)"
"BLUEROCKCAL","Blue rockfish","US West Coast",0.12,87,1.6,0.246690734055355,TRUE,TRUE,TRUE,FALSE,"1_Long-lived (M<0.2)"
"BMARLINPAC","Blue marlin","Pacific Ocean",0.42,49,0.752380952380952,1.056364,FALSE,FALSE,FALSE,FALSE,"3_Moderate (0.4≤M<0.8)"
"BNSNZ","Bluenose","New Zealand",0.08,76,2.875,0.408073034916234,TRUE,TRUE,TRUE,FALSE,"1_Long-lived (M<0.2)"
"BSBASSMATLC","Black sea bass","US East Coast",0.4,52,2.7,0.215602836879433,TRUE,TRUE,TRUE,FALSE,"3_Moderate (0.4≤M<0.8)"
"BSBASSSATL","Black sea bass","US Southeast and Gulf",0.38,39,2.62631578947368,0.50369318691036,TRUE,TRUE,FALSE,FALSE,"2_Medium (0.2≤M<0.4)"
"BSQLOBSTERCSCH","Yellow squat lobster","South America",0.3,37,2.73,0.665499124343257,TRUE,TRUE,FALSE,FALSE,"2_Medium (0.2≤M<0.4)"
"BSQLOBSTERNCH","Yellow squat lobster","South America",0.3,31,2.73,0.341600374356575,TRUE,TRUE,TRUE,FALSE,"2_Medium (0.2≤M<0.4)"
"BTSHRIMPNAUST","Brown tiger shrimp","Australia",2.34,37,0.263675213675214,0.535559316887999,FALSE,FALSE,FALSE,FALSE,"4_Fast turnover (M≥0.8)"
"CABEZORECOAST","Cabezon","US West Coast",0.25,48,2.982,1.07462686567164,TRUE,TRUE,FALSE,FALSE,"2_Medium (0.2≤M<0.4)"
"CALSCORPSCAL","California scorpionfish","US West Coast",0.25,101,1.96554,0.851849753844951,TRUE,TRUE,FALSE,FALSE,"2_Medium (0.2≤M<0.4)"
"CHILISPCOAST","Chilipepper","US West Coast",0.16,125,4.21875,0.525735294117647,TRUE,TRUE,FALSE,FALSE,"1_Long-lived (M<0.2)"
"CHTRACCH","Chilean jack mackerel","South America",0.23,53,3.67391304347826,0.318395277069636,TRUE,TRUE,TRUE,FALSE,"2_Medium (0.2≤M<0.4)"
"CMACKPCOAST","Pacific chub mackerel","US West Coast",0.5,80,1.438,0.0874490221237853,TRUE,TRUE,TRUE,TRUE,"3_Moderate (0.4≤M<0.8)"
"CMACKPJPN","Chub mackerel","Japan",0.4,40,2.675,0.0554958113439607,TRUE,TRUE,TRUE,TRUE,"3_Moderate (0.4≤M<0.8)"
"COD3Pn4RS","Atlantic cod","Canada East Coast",1.1,41,1.78181818181818,0.0369363106382979,TRUE,TRUE,TRUE,TRUE,"4_Fast turnover (M≥0.8)"
"COD4X5Yb","Atlantic cod","Canada East Coast",1.285,35,0.609338521400778,0.1299375,FALSE,FALSE,TRUE,TRUE,"4_Fast turnover (M≥0.8)"
"COWCODSCAL","Cowcod","US West Coast",0.06,118,15.65,0.237903225806452,TRUE,TRUE,TRUE,FALSE,"1_Long-lived (M<0.2)"
"CROCKPCOAST","Canary rockfish","US West Coast",0.06,129,14.4833333333333,0.406040268456376,TRUE,TRUE,TRUE,FALSE,"1_Long-lived (M<0.2)"
"CSARDCSCH","Chilean sardine","South America",1,30,0.7545,0.4145,FALSE,FALSE,TRUE,FALSE,"4_Fast turnover (M≥0.8)"
"DEEPFLATHEADSE","Deepwater flathead","Australia",0.195742,28,1.01664435839013,1.40006011206427,FALSE,TRUE,FALSE,FALSE,"1_Long-lived (M<0.2)"
"DKROCKPCOAST","Darkblotched rockfish","US West Coast",0.07,105,12.7214285714286,0.423943661971831,TRUE,TRUE,TRUE,FALSE,"1_Long-lived (M<0.2)"
"DOYSFS","Dredge oyster","New Zealand",0.1,88,0.6,0.57,FALSE,FALSE,FALSE,FALSE,"1_Long-lived (M<0.2)"
"DSOLEGA","Dover sole","US Alaska",0.085,41,1.065,2.32183329136238,FALSE,TRUE,FALSE,FALSE,"1_Long-lived (M<0.2)"
"DSOLEPCOAST","Dover sole","US West Coast",0.101,108,4.0049504950495,2.48185941043084,TRUE,TRUE,FALSE,FALSE,"1_Long-lived (M<0.2)"
"DUSROCKGA","Dusky rockfish","US Alaska",0.07,43,1.669,0.555439573184876,TRUE,TRUE,FALSE,FALSE,"1_Long-lived (M<0.2)"
"FLSOLEBSAI","Flathead sole","US Alaska",0.2,57,0.375,1.14866760168303,FALSE,FALSE,FALSE,FALSE,"2_Medium (0.2≤M<0.4)"
"FLSOLEGA","Flathead sole","US Alaska",0.2,39,0.1555,1.54795119058765,FALSE,FALSE,FALSE,FALSE,"2_Medium (0.2≤M<0.4)"
"FMEG8c9a","Fourspotted megrim","European Union",0.2,35,3.1275,0.696086956521739,TRUE,TRUE,FALSE,FALSE,"2_Medium (0.2≤M<0.4)"
"GAGGM","Gag","US Southeast and Gulf",0.134,50,3.93283582089552,0.121892796397015,TRUE,TRUE,TRUE,TRUE,"1_Long-lived (M<0.2)"
"GAGSATLC","Gag","US Southeast and Gulf",0.14,58,5.64285714285714,0.150641025641026,TRUE,TRUE,TRUE,TRUE,"1_Long-lived (M<0.2)"
"GEMFISHNZ","Common gemfish","New Zealand",0.24,55,0.7875,1.57127918203666,FALSE,FALSE,FALSE,FALSE,"2_Medium (0.2≤M<0.4)"
"GHALBSAI","Greenland halibut","US Alaska",0.11,61,3.81818181818182,0.829652996845426,TRUE,TRUE,FALSE,FALSE,"1_Long-lived (M<0.2)"
"GRAMBERSATLC","Greater amberjack","US Southeast and Gulf",0.25,69,2.76,1.06701030927835,TRUE,TRUE,FALSE,FALSE,"2_Medium (0.2≤M<0.4)"
"GSTRGZRSTA7","Giant stargazer","New Zealand",0.18,44,4.48888888888889,1.23,TRUE,TRUE,FALSE,FALSE,"1_Long-lived (M<0.2)"
"GTPRAWNNAUST","Grooved tiger prawn","Australia",2.34,37,0.401282051282051,0.587841215175153,FALSE,FALSE,FALSE,FALSE,"4_Fast turnover (M≥0.8)"
"GTRIGGM","Gray triggerfish","US Southeast and Gulf",0.27,69,2.07962962962963,0.46740054661403,TRUE,TRUE,TRUE,FALSE,"2_Medium (0.2≤M<0.4)"
"HAKESPPSAF","Hake spp","Southern Africa",1,56,0.50681,0.200691557397674,FALSE,FALSE,TRUE,FALSE,"4_Fast turnover (M≥0.8)"
"HERR30","Herring","European Union",0.2,38,0.78,0.65,FALSE,FALSE,FALSE,FALSE,"2_Medium (0.2≤M<0.4)"
"HERR4RFA","Herring","Canada East Coast",0.2,30,0.995,0.470935488096408,FALSE,FALSE,TRUE,FALSE,"2_Medium (0.2≤M<0.4)"
"HERR4RSP","Herring","Canada East Coast",0.2,39,2.89,0.384683297777894,TRUE,TRUE,TRUE,FALSE,"2_Medium (0.2≤M<0.4)"
"HERR4TFA","Herring","Canada East Coast",0.2,36,4.53,0.266894453488372,TRUE,TRUE,TRUE,FALSE,"2_Medium (0.2≤M<0.4)"
"HERR4TSP","Herring","Canada East Coast",0.2,36,8.825,0.118587264814815,TRUE,TRUE,TRUE,TRUE,"2_Medium (0.2≤M<0.4)"
"HERRIsum","Herring","Europe non EU",0.1,32,4.36,1.28043,TRUE,TRUE,FALSE,FALSE,"1_Long-lived (M<0.2)"
"HERRRIGA","Herring","European Union",0.2,44,3.535,0.665108333333334,TRUE,TRUE,FALSE,FALSE,"2_Medium (0.2≤M<0.4)"
"HOKIENZ","Hoki","New Zealand",0.29,41,0.955172413793104,0.694385232706674,FALSE,FALSE,FALSE,FALSE,"2_Medium (0.2≤M<0.4)"
"HOKIWNZ","Hoki","New Zealand",0.29,41,1.24137931034483,0.405127980975896,FALSE,TRUE,TRUE,FALSE,"2_Medium (0.2≤M<0.4)"
"JMACKPJPN","Japanese jack mackerel","Japan",0.5,28,3.2,0.182677644952786,TRUE,TRUE,TRUE,TRUE,"3_Moderate (0.4≤M<0.8)"
"JMACKTSST","Japanese jack mackerel","Japan",0.5,38,3.2,0.276585575923882,TRUE,TRUE,TRUE,FALSE,"3_Moderate (0.4≤M<0.8)"
"KMACKGM","King mackerel","US Southeast and Gulf",0.16,83,6.15625,0.809175715371157,TRUE,TRUE,FALSE,FALSE,"1_Long-lived (M<0.2)"
"LINGCODNPCOAST","Lingcod","US West Coast",0.18,132,5.01011111111111,0.486935239475591,TRUE,TRUE,TRUE,FALSE,"1_Long-lived (M<0.2)"
"LINGCODSPCOAST","Lingcod","US West Coast",0.18,132,4.92138888888889,0.266393442622951,TRUE,TRUE,TRUE,FALSE,"1_Long-lived (M<0.2)"
"LNOSESKAPCOAST","Longnose skate","US West Coast",0.2,103,2.395,1.75932977913176,TRUE,TRUE,FALSE,FALSE,"2_Medium (0.2≤M<0.4)"
"LOBSTERGOM","American lobster","US East Coast",0.15,25,8.33333333333333,0.228,TRUE,TRUE,TRUE,FALSE,"1_Long-lived (M<0.2)"
"LOBSTERSNE","American lobster","US East Coast",0.2175,23,6.85057471264368,0.5625,TRUE,TRUE,FALSE,FALSE,"2_Medium (0.2≤M<0.4)"
"LSTHORNHPCOAST","Longspine thornyhead","US West Coast",0.11,55,5.69090909090909,1.33412415974694,TRUE,TRUE,FALSE,FALSE,"1_Long-lived (M<0.2)"
"MEG8c9a","Megrim","European Union",0.2,35,2.505,0.648469387755102,TRUE,TRUE,FALSE,FALSE,"2_Medium (0.2≤M<0.4)"
"MENATGM","Gulf menhaden","US Southeast and Gulf",2.11,41,2.58056872037915,0.568627450980392,TRUE,TRUE,FALSE,FALSE,"4_Fast turnover (M≥0.8)"
"MENATLAN","Atlantic menhaden","US East Coast",1.25,67,3.0188292,0.331616834170855,TRUE,TRUE,TRUE,FALSE,"4_Fast turnover (M≥0.8)"
"MONKGOMNGB","Monkfish","US East Coast",0.3,32,3.9,0.829101011416417,TRUE,TRUE,FALSE,FALSE,"2_Medium (0.2≤M<0.4)"
"MONKSGBMATL","Monkfish","US East Coast",0.3,32,1.03333333333333,1.43720261766224,FALSE,TRUE,FALSE,FALSE,"2_Medium (0.2≤M<0.4)"
"MORWONGESE","Jackass morwong","Australia",0.15,106,13.3434,0.50404528524912,TRUE,TRUE,FALSE,FALSE,"1_Long-lived (M<0.2)"
"MORWONGWSE","Jackass morwong","Australia",0.15,32,0.82491,1.69498987114926,FALSE,FALSE,FALSE,FALSE,"1_Long-lived (M<0.2)"
"MUTSNAPSATLCGM","Mutton snapper","US Southeast and Gulf",0.11,26,3.52727272727273,0.593865282389324,TRUE,TRUE,FALSE,FALSE,"1_Long-lived (M<0.2)"
"NROCKBSAI","Northern rockfish","US Alaska",0.0427,44,1.03817330210773,0.770022208342009,FALSE,TRUE,FALSE,FALSE,"1_Long-lived (M<0.2)"
"NROCKGA","Northern rockfish","US Alaska",0.06,59,4.90083333333333,0.624113475177305,TRUE,TRUE,FALSE,FALSE,"1_Long-lived (M<0.2)"
"NRSOLEEBSAI","Northern rock sole","US Alaska",0.18,46,6.16666666666667,0.25531914893617,TRUE,TRUE,TRUE,FALSE,"1_Long-lived (M<0.2)"
"NSHRIMPCSCH","Nylon shrimp","South America",0.36,72,2.275,0.223173546747766,TRUE,TRUE,TRUE,FALSE,"2_Medium (0.2≤M<0.4)"
"NSHRIMPNCH","Nylon shrimp","South America",0.36,53,2.275,0.614726276541028,TRUE,TRUE,FALSE,FALSE,"2_Medium (0.2≤M<0.4)"
"NZLINGLIN3-4","Ling","New Zealand",0.168,40,0.767857142857143,1.16794277433404,FALSE,FALSE,FALSE,FALSE,"1_Long-lived (M<0.2)"
"NZLINGLIN5-6","Ling","New Zealand",0.228,40,0.250438596491228,1.79415097225641,FALSE,FALSE,FALSE,FALSE,"2_Medium (0.2≤M<0.4)"
"NZLINGLIN6b","Ling","New Zealand",0.18,22,0.509444444444444,2.10067398100697,FALSE,FALSE,FALSE,FALSE,"1_Long-lived (M<0.2)"
"NZLINGLIN72","Ling","New Zealand",0.191885,35,0.49091904005003,2.0976336489346,FALSE,FALSE,FALSE,FALSE,"1_Long-lived (M<0.2)"
"NZLINGLIN7WC","Ling","New Zealand",0.2,36,0.2025,1.51321027868259,FALSE,FALSE,FALSE,FALSE,"2_Medium (0.2≤M<0.4)"
"NZSNAPNZ8","New Zealand snapper","New Zealand",0.0507649,75,7.26880186900792,0.321633373406217,TRUE,TRUE,TRUE,FALSE,"1_Long-lived (M<0.2)"
